team,group,formation,starter_order,lineup_role,shirt_number,player_name,source_url
Scotland,C,4-2-3-1,10,ATT,17,Gannon-Doak,https://mylineups.app/world-cup-2026/teams/scotland
Scotland,C,4-2-3-1,11,ATT,7,McGinn,https://mylineups.app/world-cup-2026/teams/scotland
Australia,D,3-4-2-1,1,GK,1,Ryan,https://mylineups.app/world-cup-2026/teams/australia
Australia,D,3-4-2-1,2,DEF,5,Bos,https://mylineups.app/world-cup-2026/teams/australia
Australia,D,3-4-2-1,3,DEF,21,Burgess,https://mylineups.app/world-cup-2026/teams/australia
Australia,D,3-4-2-1,4,DEF,3,Circati,https://mylineups.app/world-cup-2026/teams/australia
Australia,D,3-4-2-1,5,DEF,19,Souttar,https://mylineups.app/world-cup-2026/teams/australia
Australia,D,3-4-2-1,6,MID,10,Hrustic,https://mylineups.app/world-cup-2026/teams/australia
Australia,D,3-4-2-1,7,MID,22,Irvine,https://mylineups.app/world-cup-2026/teams/australia
Australia,D,3-4-2-1,8,MID,4,Italiano,https://mylineups.app/world-cup-2026/teams/australia
Australia,D,3-4-2-1,9,MID,8,Metcalfe,https://mylineups.app/world-cup-2026/teams/australia
Australia,D,3-4-2-1,10,ATT,9,Touré,https://mylineups.app/world-cup-2026/teams/australia
Australia,D,3-4-2-1,11,ATT,20,Volpato,https://mylineups.app/world-cup-2026/teams/australia
Paraguay,D,4-2-3-1,1,GK,1,Fernández,https://mylineups.app/world-cup-2026/teams/paraguay
Paraguay,D,4-2-3-1,2,DEF,3,Alderete,https://mylineups.app/world-cup-2026/teams/paraguay
Paraguay,D,4-2-3-1,3,DEF,6,Alonso,https://mylineups.app/world-cup-2026/teams/paraguay
Paraguay,D,4-2-3-1,4,DEF,4,Cáceres,https://mylineups.app/world-cup-2026/teams/paraguay
Paraguay,D,4-2-3-1,5,DEF,15,Gómez,https://mylineups.app/world-cup-2026/teams/paraguay
Paraguay,D,4-2-3-1,6,MID,16,Bobadilla,https://mylineups.app/world-cup-2026/teams/paraguay
Paraguay,D,4-2-3-1,7,MID,14,Cubas,https://mylineups.app/world-cup-2026/teams/paraguay
Paraguay,D,4-2-3-1,8,MID,19,Enciso,https://mylineups.app/world-cup-2026/teams/paraguay
Paraguay,D,4-2-3-1,9,MID,8,Gómez,https://mylineups.app/world-cup-2026/teams/paraguay
Paraguay,D,4-2-3-1,10,ATT,10,Almirón,https://mylineups.app/world-cup-2026/teams/paraguay
Paraguay,D,4-2-3-1,11,ATT,9,Sanabria,https://mylineups.app/world-cup-2026/teams/paraguay
Turkiye,D,4-2-3-1,1,GK,23,Çakir,https://mylineups.app/world-cup-2026/teams/turkiye
Turkiye,D,4-2-3-1,2,DEF,14,Bardakci,https://mylineups.app/world-cup-2026/teams/turkiye
Turkiye,D,4-2-3-1,3,DEF,3,Demiral,https://mylineups.app/world-cup-2026/teams/turkiye
Turkiye,D,4-2-3-1,4,DEF,20,Kadioglu,https://mylineups.app/world-cup-2026/teams/turkiye
Turkiye,D,4-2-3-1,5,MID,10,Çalhanoglu,https://mylineups.app/world-cup-2026/teams/turkiye
Turkiye,D,4-2-3-1,6,MID,2,Çelik,https://mylineups.app/world-cup-2026/teams/turkiye
Turkiye,D,4-2-3-1,7,MID,8,Güler,https://mylineups.app/world-cup-2026/teams/turkiye
Turkiye,D,4-2-3-1,8,MID,11,Yildiz,https://mylineups.app/world-cup-2026/teams/turkiye
Turkiye,D,4-2-3-1,9,MID,16,Yüksek,https://mylineups.app/world-cup-2026/teams/turkiye
Turkiye,D,4-2-3-1,10,ATT,7,Aktürkoglu,https://mylineups.app/world-cup-2026/teams/turkiye
Turkiye,D,4-2-3-1,11,ATT,21,Baris Alper,https://mylineups.app/world-cup-2026/teams/turkiye
USA,D,3-4-2-1,1,GK,1,Turner,https://mylineups.app/world-cup-2026/teams/usa
USA,D,3-4-2-1,2,DEF,22,McKenzie,https://mylineups.app/world-cup-2026/teams/usa
USA,D,3-4-2-1,3,DEF,13,Ream,https://mylineups.app/world-cup-2026/teams/usa
USA,D,3-4-2-1,4,DEF,3,Richards,https://mylineups.app/world-cup-2026/teams/usa
USA,D,3-4-2-1,5,DEF,5,Robinson,https://mylineups.app/world-cup-2026/teams/usa
USA,D,3-4-2-1,6,MID,4,Adams,https://mylineups.app/world-cup-2026/teams/usa
USA,D,3-4-2-1,7,MID,8,McKennie,https://mylineups.app/world-cup-2026/teams/usa
USA,D,3-4-2-1,8,MID,17,Tillman,https://mylineups.app/world-cup-2026/teams/usa
USA,D,3-4-2-1,9,MID,21,Weah,https://mylineups.app/world-cup-2026/teams/usa
USA,D,3-4-2-1,10,ATT,20,Balogun,https://mylineups.app/world-cup-2026/teams/usa
USA,D,3-4-2-1,11,ATT,10,Pulisic,https://mylineups.app/world-cup-2026/teams/usa
Curacao,E,4-3-3,1,GK,1,Room,https://mylineups.app/world-cup-2026/teams/curacao
Curacao,E,4-3-3,2,DEF,5,Floranus,https://mylineups.app/world-cup-2026/teams/curacao
Curacao,E,4-3-3,3,DEF,3,Gaari,https://mylineups.app/world-cup-2026/teams/curacao
